id,prompt,matched,recall,precision,f1,pairs,raw_output
1,"I have pork belly, garlic, and chili oil. I want to make something spicy and Sichuan-style.",3,1,0.272727273,0.428571429,"[('pork belly', '500g pork belly cut into 1-inch cubes'), ('garlic', '4 cloves garlic minced'), ('chili oil', '2 tablespoons chili oil plus extra for serving')]","```json
{
  ""recipe_name"": ""Spicy Sichuan Pork Belly with Garlic and Chili Oil"",
  ""chosen_from"": ""User Request and Common Sichuan Recipes"",
  ""ingredients"": [
    ""500g pork belly, cut into 1-inch cubes"",
    ""2 tablespoons chili oil, plus extra for serving"",
    ""4 cloves garlic, minced"",
    ""1 tablespoon light soy sauce"",
    ""1 tablespoon dark soy sauce"",
    ""1 tablespoon Shaoxing wine (or dry sherry)"",
    ""1 teaspoon Sichuan peppercorns, toasted and ground"",
    ""1/2 teaspoon sugar"",
    ""1/4 cup water or chicken broth"",
    ""2 scallions, thinly sliced (for garnish)"",
    ""Cooked rice, for serving""
  ],
  ""steps"": [
    ""In a pot, blanch the pork belly in boiling water for 5 minutes. Drain and rinse under cold water. This helps remove impurities."",
    ""Heat 1 tablespoon of chili oil in a wok or large skillet over medium-high heat."",
    ""Add the pork belly and stir-fry until lightly browned on all sides, about 5-7 minutes."",
    ""Add the minced garlic and stir-fry for another minute until fragrant."",
    ""Add light soy sauce, dark soy sauce, Shaoxing wine, ground Sichuan peppercorns, sugar, and water/broth."",
    ""Bring to a simmer, then reduce heat to low, cover, and cook for about 1-1.5 hours, or until the pork belly is tender. Check periodically and add more water/broth if needed to prevent sticking."",
    ""Once the pork belly is tender, increase the heat to medium-high and cook, stirring frequently, until the sauce thickens and glazes the pork belly, about 5 minutes."",
    ""Serve hot, drizzled with extra chili oil and garnished with sliced scallions. Serve with cooked rice.""
  ]
}
```"
2,"I have chicken thighs, soy sauce, and ginger. I want a simple Chinese home-style dish.",3,1,0.5,0.666666667,"[('chicken thighs', '4-6 chicken thighs'), ('soy sauce', '1 4 cup soy sauce'), ('ginger', '1 tablespoon grated fresh ginger')]","```json
{
  ""recipe_name"": ""Soy Sauce Ginger Chicken Thighs"",
  ""chosen_from"": ""Simple pantry ingredients"",
  ""ingredients"": [
    ""4-6 chicken thighs"",
    ""1/4 cup soy sauce"",
    ""1 tablespoon grated fresh ginger"",
    ""1 tablespoon cooking oil (vegetable, canola, or peanut)"",
    ""1/4 cup water"",
    ""Optional: 1 scallion, thinly sliced (for garnish)""
  ],
  ""steps"": [
    ""Pat chicken thighs dry with paper towels."",
    ""In a bowl, combine soy sauce and grated ginger."",
    ""Marinate chicken thighs in soy sauce mixture for at least 15 minutes (or up to an hour) at room temperature, flipping occasionally."",
    ""Heat cooking oil in a skillet or wok over medium-high heat."",
    ""Add chicken thighs to the hot skillet, skin-side down. Sear for 4-5 minutes until the skin is golden brown."",
    ""Flip chicken thighs and cook for another 3-4 minutes until lightly browned on the other side."",
    ""Pour in the marinade and water. Bring to a simmer."",
    ""Cover the skillet and reduce heat to low. Simmer for 15-20 minutes, or until the chicken is cooked through and tender."",
    ""Remove the chicken from the skillet. If desired, simmer the sauce uncovered for a few minutes to thicken slightly."",
    ""Serve chicken thighs with the sauce drizzled over them. Garnish with sliced scallions, if using."",
    ""Serve with rice.""
  ]
}
```"
3,"I have tofu, bok choy, and mushrooms. I want something light and vegetarian like a soup.",3,1,0.3,0.461538462,"[('tofu', '1 block firm tofu pressed and cubed'), ('bok choy', '1 bunch bok choy chopped'), ('mushrooms', '8 oz mushrooms sliced')]","```json
{
  ""recipe_name"": ""Simple Tofu, Bok Choy, and Mushroom Soup"",
  ""chosen_from"": ""User's Ingredients"",
  ""ingredients"": [
    ""1 block firm tofu, pressed and cubed"",
    ""1 bunch bok choy, chopped"",
    ""8 oz mushrooms, sliced"",
    ""4 cups vegetable broth"",
    ""1 tbsp soy sauce"",
    ""1 tsp sesame oil"",
    ""1/2 tsp grated ginger"",
    ""1 clove garlic, minced"",
    ""Salt and pepper to taste"",
    ""Green onions, sliced (for garnish - optional)""
  ],
  ""steps"": [
    ""In a pot, heat vegetable broth over medium heat."",
    ""Add mushrooms and ginger to the broth and cook for 5 minutes."",
    ""Add tofu, bok choy, garlic, soy sauce, and sesame oil to the pot."",
    ""Cook until the bok choy is tender-crisp, about 5-7 minutes."",
    ""Season with salt and pepper to taste."",
    ""Garnish with green onions, if desired."",
    ""Serve hot.""
  ]
}
```"
4,"I have beef slices, bell peppers, and onions. I want to make a stir-fry that's slightly spicy.",1,0.333333333,0.083333333,0.133333333,"[('beef slices', '1 lb beef slices sirloin or flank steak thinly sliced')]","```json
{
  ""recipe_name"": ""Spicy Beef and Pepper Stir-Fry"",
  ""chosen_from"": ""User Request"",
  ""ingredients"": [
    ""1 lb beef slices (sirloin or flank steak, thinly sliced)"",
    ""1 large bell pepper (any color), sliced"",
    ""1 medium onion, sliced"",
    ""2 cloves garlic, minced"",
    ""1 inch ginger, grated"",
    ""1-2 Thai chilies, finely chopped (adjust to your spice preference)"",
    ""2 tablespoons soy sauce"",
    ""1 tablespoon oyster sauce (optional)"",
    ""1 tablespoon cornstarch"",
    ""1 tablespoon vegetable oil"",
    ""1 teaspoon sesame oil"",
    ""Cooked rice, for serving""
  ],
  ""steps"": [
    ""In a small bowl, whisk together soy sauce, oyster sauce (if using), and cornstarch. Set aside."",
    ""Heat vegetable oil in a wok or large skillet over high heat until shimmering."",
    ""Add beef slices and stir-fry quickly until browned, about 2-3 minutes. Remove beef from wok and set aside."",
    ""Add bell peppers and onions to the wok and stir-fry for 3-4 minutes, until slightly softened."",
    ""Add garlic, ginger, and Thai chilies to the vegetables and stir-fry for 30 seconds, until fragrant."",
    ""Return the beef to the wok."",
    ""Pour the sauce mixture over the beef and vegetables and stir-fry for 1-2 minutes, until the sauce thickens and coats the ingredients."",
    ""Stir in sesame oil."",
    ""Serve immediately over cooked rice.""
  ]
}
```"
5,"I have shrimp, eggs, and rice. I want something quick like Cantonese fried rice.",3,1,0.428571429,0.6,"[('shrimp', 'shrimp peeled and deveined'), ('eggs', 'eggs'), ('rice', 'cooked rice day-old is best')]","```json
{
  ""recipe_name"": ""Quick Shrimp Fried Rice (Cantonese Style)"",
  ""chosen_from"": ""User request"",
  ""ingredients"": [
    ""Cooked rice (day-old is best)"",
    ""Shrimp, peeled and deveined"",
    ""Eggs"",
    ""Soy sauce"",
    ""Cooking oil (vegetable or canola)"",
    ""Scallions, chopped (optional)"",
    ""Salt and white pepper to taste""
  ],
  ""steps"": [
    ""Whisk eggs with a pinch of salt and pepper."",
    ""Heat a wok or large skillet over high heat. Add a tablespoon of oil."",
    ""Pour in the eggs and quickly scramble until lightly cooked. Remove from the pan and set aside."",
    ""Add another tablespoon of oil to the pan. Stir-fry the shrimp until they turn pink and cooked through (about 2-3 minutes). Remove and set aside."",
    ""Add a little more oil if needed. Add the rice and break it up with your spatula or spoon."",
    ""Stir-fry the rice for 2-3 minutes, pressing it against the pan to get slightly crispy."",
    ""Add soy sauce, scrambled eggs, and shrimp back to the pan. Stir-fry everything together for another minute or two, ensuring the rice is well coated."",
    ""Stir in chopped scallions (if using). Season with salt and white pepper to taste."",
    ""Serve immediately.""
  ]
}
```"
6,"I have duck, honey, and five-spice powder. I want to make something aromatic and traditional.",3,1,0.375,0.545454545,"[('duck', '1 duck about 4-5 lbs'), ('honey', '2 tbsp honey'), ('five-spice powder', '1 tbsp five-spice powder')]","```json
{
  ""recipe_name"": ""Honey-Glazed Five-Spice Duck"",
  ""chosen_from"": ""Chinese Cuisine"",
  ""ingredients"": [
    ""1 Duck (about 4-5 lbs)"",
    ""2 tbsp Honey"",
    ""1 tbsp Five-Spice Powder"",
    ""1 tbsp Soy Sauce"",
    ""1 tbsp Rice Wine or Dry Sherry"",
    ""1 tsp Sesame Oil"",
    ""Salt and Black Pepper to taste"",
    ""Water (for boiling)""
  ],
  ""steps"": [
    ""Rinse the duck inside and out, and pat it dry with paper towels."",
    ""Score the duck skin in a crosshatch pattern (not too deep, just through the skin) to help the fat render."",
    ""In a small bowl, combine honey, five-spice powder, soy sauce, rice wine (or sherry), and sesame oil. Mix well."",
    ""Season the duck inside and out with salt and pepper."",
    ""Rub the honey-five-spice mixture all over the duck, making sure to get it under the skin as much as possible."",
    ""Let the duck marinate in the refrigerator for at least 4 hours, or preferably overnight."",
    ""Preheat your oven to 375°F (190°C)."",
    ""Place the duck on a roasting rack in a roasting pan. Add about 1 inch of water to the bottom of the pan to prevent smoking and help with crisping the skin."",
    ""Roast the duck for about 1.5 - 2 hours, or until the internal temperature reaches 165°F (74°C) in the thickest part of the thigh. Baste the duck with the pan drippings every 30-45 minutes."",
    ""If the skin isn't crisp enough, increase the oven temperature to 400°F (200°C) for the last 10-15 minutes."",
    ""Let the duck rest for 10-15 minutes before carving and serving.""
  ]
}
```"
7,"I have ground pork, napa cabbage, and garlic. I want a northern Chinese dumpling filling idea.",3,1,0.3,0.461538462,"[('ground pork', '1 pound ground pork'), ('napa cabbage', '1 pound napa cabbage finely chopped and salted'), ('garlic', '4 cloves garlic minced')]","```json
{
  ""recipe_name"": ""Napa Cabbage and Pork Dumplings (Northern Chinese Style)"",
  ""chosen_from"": ""User Request"",
  ""ingredients"": [
    ""1 pound ground pork"",
    ""1 pound napa cabbage, finely chopped and salted"",
    ""4 cloves garlic, minced"",
    ""2 tablespoons soy sauce"",
    ""1 tablespoon sesame oil"",
    ""1 teaspoon ground white pepper"",
    ""1/2 teaspoon sugar"",
    ""Dumpling wrappers (store-bought or homemade)"",
    ""Water for sealing dumplings"",
    ""Optional: Green onions, finely chopped, for garnish and/or filling""
  ],
  ""steps"": [
    ""Prepare the cabbage: Place the chopped napa cabbage in a colander and sprinkle with 1 teaspoon of salt. Let it sit for at least 30 minutes to release excess water. Then, rinse the cabbage thoroughly and squeeze out as much water as possible. This is crucial for a non-watery filling."",
    ""Combine the filling: In a large bowl, combine the ground pork, squeezed napa cabbage, minced garlic, soy sauce, sesame oil, white pepper, and sugar. If using, add green onions now. Mix everything thoroughly with your hands or a spoon until well combined and the mixture becomes sticky."",
    ""Prepare the dumplings: Place a dumpling wrapper in your hand or on a clean surface. Place about 1-2 teaspoons of the filling in the center of the wrapper. Dip your finger in water and moisten the edges of the wrapper. Fold the wrapper in half, creating a half-moon shape, and pinch the edges together firmly to seal the dumpling. You can pleat the edges for a more decorative seal if desired."",
    ""Cook the dumplings: You can cook the dumplings by boiling, steaming, or pan-frying.  To boil: Bring a pot of water to a boil. Gently add the dumplings and cook for 5-7 minutes, or until they float to the surface and are cooked through. To steam: Place the dumplings in a steamer basket and steam for 8-10 minutes. To pan-fry (potstickers): Heat some oil in a non-stick skillet over medium heat. Place the dumplings in the skillet and cook until the bottoms are golden brown (about 3-4 minutes). Add about 1/2 cup of water to the skillet, cover immediately to create steam, and cook until the water has evaporated and the dumplings are cooked through (about 5-7 minutes)."",
    ""Serve: Serve the dumplings hot, with dipping sauces of your choice (e.g., soy sauce, vinegar, chili oil).""
  ]
}
```"
8,"I have noodles, sesame paste, and cucumber. I want a cold Sichuan-style noodle dish.",3,1,0.272727273,0.428571429,"[('noodles', 'noodles preferably wheat noodles like chinese noodles or spaghetti'), ('sesame paste', 'sesame paste tahini or chinese sesame paste'), ('cucumber', 'cucumber')]","```json
{
  ""recipe_name"": ""Cold Sesame Noodles with Cucumber (Sichuan Style)"",
  ""chosen_from"": ""User Request"",
  ""ingredients"": [
    ""Noodles (preferably wheat noodles like Chinese noodles or spaghetti)"",
    ""Sesame paste (tahini or Chinese sesame paste)"",
    ""Cucumber"",
    ""Soy sauce"",
    ""Rice vinegar"",
    ""Chili oil (with chili flakes, if available)"",
    ""Garlic (minced)"",
    ""Scallions (chopped)"",
    ""Sesame oil"",
    ""Sugar"",
    ""Water (for thinning)""
  ],
  ""steps"": [
    ""Cook noodles according to package directions. Rinse under cold water to cool completely and drain well."",
    ""In a bowl, whisk together sesame paste, soy sauce, rice vinegar, chili oil (to taste), minced garlic, a small amount of sugar (start with a teaspoon and adjust to taste), and a drizzle of sesame oil."",
    ""Gradually add water to the sesame paste mixture, a tablespoon at a time, until it reaches a sauce-like consistency (not too thick, not too thin)."",
    ""Thinly slice or julienne the cucumber."",
    ""Add the cooled noodles to the sauce and toss to coat evenly."",
    ""Gently fold in the cucumber."",
    ""Garnish with chopped scallions and a drizzle of chili oil (optional). Serve cold.""
  ]
}
```"
9,"I have fish fillet, chili peppers, and bean sprouts. I want to make boiled fish in spicy broth.",3,1,0.428571429,0.6,"[('fish fillet', 'fish fillet'), ('chili peppers', 'chili peppers amount according to spice preference'), ('bean sprouts', 'bean sprouts')]","```json
{
  ""recipe_name"": ""Spicy Boiled Fish with Bean Sprouts"",
  ""chosen_from"": ""User Request"",
  ""ingredients"": [
    ""Fish fillet"",
    ""Chili peppers (amount according to spice preference)"",
    ""Bean sprouts"",
    ""Water or fish broth"",
    ""Salt to taste"",
    ""Soy sauce (optional)"",
    ""Cooking oil""
  ],
  ""steps"": [
    ""Prepare the fish fillet: Rinse and pat dry. Cut into bite-sized pieces."",
    ""Prepare the chili peppers: Rinse and slice or chop chili peppers (remove seeds for less heat)."",
    ""Sauté the chili peppers: Heat a small amount of cooking oil in a pot or wok over medium heat. Add the chili peppers and stir-fry for a minute until fragrant."",
    ""Add water/broth and seasonings: Pour in water or fish broth. Bring to a boil. Add salt and soy sauce (if using) to taste."",
    ""Cook the fish: Gently add the fish fillets to the boiling broth. Cook until the fish is cooked through, usually a few minutes depending on the thickness of the fillet."",
    ""Add bean sprouts: Add the bean sprouts to the broth during the last minute of cooking, just until they are slightly softened."",
    ""Serve: Serve the spicy boiled fish with bean sprouts immediately, with the broth. Garnish with additional fresh chilies, if desired.""
  ]
}
```"
10,"I have tofu skin, peanuts, and vinegar. I want a refreshing cold appetizer.",3,1,0.375,0.545454545,"[('tofu skin', 'tofu skin yuba'), ('peanuts', 'peanuts'), ('vinegar', 'rice vinegar or other vinegar')]","```json
{
  ""recipe_name"": ""Cold Tofu Skin Salad with Peanuts and Vinegar"",
  ""chosen_from"": ""User Request"",
  ""ingredients"": [
    ""Tofu skin (yuba)"",
    ""Peanuts"",
    ""Rice vinegar (or other vinegar)"",
    ""Soy sauce (optional)"",
    ""Sesame oil (optional)"",
    ""Chili oil (optional, for spice)"",
    ""Sugar or sweetener (optional, to balance acidity)"",
    ""Water (for blanching/soaking tofu skin)""
  ],
  ""steps"": [
    ""If using dried tofu skin, rehydrate it by soaking it in warm water until softened (about 15-30 minutes). If using fresh tofu skin, skip this step."",
    ""Blanch the tofu skin in boiling water for a minute or two to remove any excess oil and soften it further. Drain and rinse with cold water."",
    ""Cut the tofu skin into bite-sized pieces or strips."",
    ""If using, lightly toast the peanuts in a dry pan until fragrant."",
    ""In a bowl, combine the rice vinegar, soy sauce (if using), sesame oil (if using), chili oil (if using), and sweetener (if using). Adjust the amount of each ingredient to your taste."",
    ""Add the tofu skin pieces and peanuts to the dressing and toss to combine."",
    ""Taste and adjust seasonings as needed. Add more vinegar for tang, soy sauce for saltiness, or sweetener for balance."",
    ""Chill the salad for at least 15 minutes before serving to allow the flavors to meld."",
    ""Garnish with additional peanuts or a drizzle of sesame oil, if desired.""
  ]
}
```"
