id,prompt,matched,recall,precision,f1,pairs,raw_output
1,"I have pork belly, garlic, and chili oil. I want to make something spicy and Sichuan-style.",3,1.0,0.2727272727272727,0.42857142857142855,"[('pork belly', '500g pork belly skin on'), ('garlic', '4 cloves garlic minced'), ('chili oil', '2 tablespoons chili oil')]","```json
{
  ""recipe_name"": ""Spicy Sichuan Pork Belly with Garlic and Chili Oil"",
  ""chosen_from"": ""User Request and Common Sichuan Recipes"",
  ""ingredients"": [
    ""500g pork belly, skin on"",
    ""4 cloves garlic, minced"",
    ""2 tablespoons chili oil"",
    ""1 tablespoon light soy sauce"",
    ""1 tablespoon dark soy sauce"",
    ""1 teaspoon Sichuan peppercorns, toasted and ground"",
    ""1/2 teaspoon white sugar"",
    ""1/4 cup water"",
    ""1 tablespoon vegetable oil"",
    ""Green onions, chopped (for garnish)"",
    ""Cooked rice, for serving""
  ],
  ""steps"": [
    ""Cut the pork belly into 1-inch thick slices."",
    ""Blanch the pork belly in boiling water for 5 minutes. Drain and rinse with cold water."",
    ""In a small bowl, combine light soy sauce, dark soy sauce, ground Sichuan peppercorns, and sugar."",
    ""Heat vegetable oil in a wok or large skillet over medium-high heat."",
    ""Add the pork belly and cook, searing on all sides until lightly browned (about 5-7 minutes)."",
    ""Add the minced garlic and chili oil and stir-fry for 30 seconds until fragrant."",
    ""Pour in the soy sauce mixture and water. Bring to a simmer."",
    ""Reduce the heat to low, cover, and braise for 30-45 minutes, or until the pork belly is tender."",
    ""Uncover and increase the heat to medium-high. Cook, stirring frequently, until the sauce has thickened and coated the pork belly."",
    ""Garnish with chopped green onions."",
    ""Serve hot over cooked rice.""
  ]
}
```"
2,"I have chicken thighs, soy sauce, and ginger. I want a simple Chinese home-style dish.",3,1.0,0.42857142857142855,0.6,"[('chicken thighs', '4 chicken thighs'), ('soy sauce', '1 4 cup soy sauce'), ('ginger', '1 tablespoon grated fresh ginger')]","```json
{
  ""recipe_name"": ""Soy Sauce Ginger Chicken Thighs"",
  ""chosen_from"": ""Ingredients available"",
  ""ingredients"": [
    ""4 chicken thighs"",
    ""1/4 cup soy sauce"",
    ""1 tablespoon grated fresh ginger"",
    ""1 tablespoon vegetable oil"",
    ""1 clove garlic, minced (optional)"",
    ""Cooked rice, for serving"",
    ""Scallions, sliced (optional, for garnish)""
  ],
  ""steps"": [
    ""Pat the chicken thighs dry with paper towels."",
    ""In a bowl, combine the soy sauce, grated ginger, and minced garlic (if using)."",
    ""Marinate the chicken thighs in the soy sauce mixture for at least 20 minutes (or up to a few hours in the refrigerator)."",
    ""Heat the vegetable oil in a skillet or wok over medium-high heat."",
    ""Remove the chicken thighs from the marinade (discard the marinade)."",
    ""Sear the chicken thighs in the hot skillet, skin-side down, until the skin is golden brown and crispy (about 5-7 minutes)."",
    ""Flip the chicken thighs and cook for another 5-7 minutes, or until cooked through (internal temperature of 165°F / 74°C)."",
    ""Serve the chicken thighs over cooked rice, garnished with sliced scallions (if using).""
  ]
}
```"
3,"I have tofu, bok choy, and mushrooms. I want something light and vegetarian like a soup.",3,1.0,0.3,0.4615384615384615,"[('tofu', '1 block firm tofu pressed and cubed'), ('bok choy', '1 bunch bok choy chopped'), ('mushrooms', '8 oz mushrooms sliced')]","```json
{
  ""recipe_name"": ""Tofu, Bok Choy, and Mushroom Soup"",
  ""chosen_from"": ""User Request"",
  ""ingredients"": [
    ""1 block firm tofu, pressed and cubed"",
    ""1 bunch bok choy, chopped"",
    ""8 oz mushrooms, sliced"",
    ""4 cups vegetable broth"",
    ""1 tbsp soy sauce"",
    ""1 tsp sesame oil"",
    ""1 inch ginger, minced"",
    ""2 cloves garlic, minced"",
    ""Green onions, chopped (for garnish - optional)"",
    ""Salt and pepper to taste""
  ],
  ""steps"": [
    ""In a pot or large saucepan, heat sesame oil over medium heat."",
    ""Add ginger and garlic, and sauté for about 30 seconds until fragrant."",
    ""Add mushrooms and cook until softened, about 5 minutes."",
    ""Pour in vegetable broth and bring to a simmer."",
    ""Add tofu and bok choy to the soup."",
    ""Season with soy sauce, salt, and pepper."",
    ""Simmer for 5-7 minutes, or until the bok choy is tender."",
    ""Serve hot, garnished with green onions if desired.""
  ]
}
```"
4,"I have beef slices, bell peppers, and onions. I want to make a stir-fry that's slightly spicy.",2,0.6666666666666666,0.18181818181818182,0.28571428571428575,"[('beef slices', '1 lb beef slices sirloin or flank steak'), ('bell peppers', '2 bell peppers any color sliced')]","```json
{
  ""recipe_name"": ""Spicy Beef and Pepper Stir-fry"",
  ""chosen_from"": ""User Request"",
  ""ingredients"": [
    ""1 lb beef slices (sirloin or flank steak)"",
    ""1 large onion, sliced"",
    ""2 bell peppers (any color), sliced"",
    ""2 tablespoons soy sauce"",
    ""1 tablespoon cornstarch"",
    ""1 tablespoon sesame oil"",
    ""1 tablespoon vegetable oil"",
    ""1-2 teaspoons red pepper flakes (adjust to your spice preference)"",
    ""2 cloves garlic, minced"",
    ""1 inch ginger, grated"",
    ""Cooked rice, for serving (optional)""
  ],
  ""steps"": [
    ""In a bowl, combine the beef slices, 1 tablespoon soy sauce, and cornstarch. Toss to coat and set aside."",
    ""Heat the vegetable oil in a wok or large skillet over high heat until shimmering."",
    ""Add the beef and stir-fry quickly until browned, about 2-3 minutes. Remove the beef from the wok and set aside."",
    ""Add the onion and bell peppers to the wok and stir-fry for 3-4 minutes, until slightly softened."",
    ""Add the garlic and ginger and stir-fry for 30 seconds until fragrant."",
    ""Return the beef to the wok."",
    ""Add the remaining soy sauce, sesame oil, and red pepper flakes. Stir-fry for 1-2 minutes, until everything is heated through and the sauce has slightly thickened."",
    ""Serve immediately over rice, if desired.""
  ]
}
```"
5,"I have shrimp, eggs, and rice. I want something quick like Cantonese fried rice.",3,1.0,0.3333333333333333,0.5,"[('shrimp', '1 2 lb shrimp peeled and deveined'), ('eggs', '2 eggs'), ('rice', '2 cups cooked rice day-old is best')]","```json
{
  ""recipe_name"": ""Quick Shrimp Fried Rice (Cantonese Style)"",
  ""chosen_from"": ""User request for quick Cantonese fried rice with shrimp, eggs, and rice."",
  ""ingredients"": [
    ""2 cups cooked rice (day-old is best)"",
    ""1/2 lb shrimp, peeled and deveined"",
    ""2 eggs"",
    ""2 tbsp soy sauce"",
    ""1 tbsp oyster sauce (optional)"",
    ""1 tbsp vegetable oil"",
    ""1 clove garlic, minced"",
    ""1/4 cup chopped scallions"",
    ""Salt and white pepper to taste""
  ],
  ""steps"": [
    ""Heat vegetable oil in a wok or large skillet over medium-high heat."",
    ""Scramble eggs in the pan until cooked; remove and set aside."",
    ""Add shrimp to the wok and cook until pink and opaque."",
    ""Add garlic and cook until fragrant (about 30 seconds)."",
    ""Add rice to the wok and break it up with a spatula."",
    ""Stir in soy sauce, oyster sauce (if using), salt, and white pepper."",
    ""Add the cooked eggs and scallions. Stir well to combine."",
    ""Cook for another minute or two, stirring frequently, until heated through."",
    ""Serve immediately.""
  ]
}
```"
6,"I have duck, honey, and five-spice powder. I want to make something aromatic and traditional.",3,1.0,0.375,0.5454545454545454,"[('duck', '1 duck about 4-5 pounds'), ('honey', '2 tablespoons honey'), ('five-spice powder', '1 tablespoon five-spice powder')]","```json
{
  ""recipe_name"": ""Honey-Glazed Five-Spice Duck"",
  ""chosen_from"": ""Chinese Cuisine"",
  ""ingredients"": [
    ""1 duck, about 4-5 pounds"",
    ""2 tablespoons honey"",
    ""1 tablespoon five-spice powder"",
    ""1 tablespoon soy sauce"",
    ""1 teaspoon salt"",
    ""1/2 teaspoon black pepper"",
    ""2 cloves garlic, minced"",
    ""1 inch ginger, minced""
  ],
  ""steps"": [
    ""Preheat oven to 375°F (190°C)."",
    ""Rinse the duck inside and out and pat dry with paper towels."",
    ""In a small bowl, combine honey, five-spice powder, soy sauce, salt, pepper, garlic, and ginger to create a marinade."",
    ""Rub the marinade all over the duck, including under the skin if possible. You can gently loosen the skin to make this easier."",
    ""Place the duck on a roasting rack in a roasting pan."",
    ""Roast for 1 hour."",
    ""Baste the duck with the pan juices."",
    ""Reduce the oven temperature to 350°F (175°C) and continue roasting for another 1-1.5 hours, or until the internal temperature of the thickest part of the thigh reaches 165°F (74°C). Baste every 20-30 minutes."",
    ""Remove the duck from the oven and let it rest for 10-15 minutes before carving."",
    ""Serve and enjoy!""
  ]
}
```"
7,"I have ground pork, napa cabbage, and garlic. I want a northern Chinese dumpling filling idea.",3,1.0,0.3333333333333333,0.5,"[('ground pork', '1 pound ground pork'), ('napa cabbage', '1 2 large head of napa cabbage finely chopped and salted'), ('garlic', '4 cloves garlic minced')]","```json
{
  ""recipe_name"": ""Napa Cabbage & Pork Dumplings (Shuijiao) - Northern Chinese Style"",
  ""chosen_from"": ""Utilizing available ingredients"",
  ""ingredients"": [
    ""1 pound ground pork"",
    ""1/2 large head of Napa cabbage, finely chopped and salted"",
    ""4 cloves garlic, minced"",
    ""1 tablespoon soy sauce"",
    ""1 tablespoon sesame oil"",
    ""1 teaspoon grated fresh ginger (optional)"",
    ""1/2 teaspoon white pepper"",
    ""Dumpling wrappers (store-bought or homemade)"",
    ""Water for sealing dumplings""
  ],
  ""steps"": [
    ""Prepare the cabbage: Finely chop the Napa cabbage and place it in a colander. Sprinkle generously with salt and let it sit for at least 30 minutes to an hour, or until the cabbage has softened and released water."",
    ""Squeeze out excess water: Rinse the salted cabbage thoroughly to remove excess salt. Squeeze the cabbage with your hands, pressing out as much water as possible. This step is crucial for preventing a soggy filling."",
    ""Combine ingredients: In a large bowl, combine the squeezed cabbage, ground pork, minced garlic, soy sauce, sesame oil, ginger (if using), and white pepper."",
    ""Mix the filling: Use your hands or a spoon to thoroughly mix all the ingredients until they are well combined and slightly sticky."",
    ""Prepare the dumplings: Place a dumpling wrapper on a flat surface. Place a spoonful of filling in the center of the wrapper."",
    ""Seal the dumplings: Wet the edges of the dumpling wrapper with water. Fold the wrapper in half to create a half-moon shape, and pinch the edges firmly to seal, creating pleats if desired."",
    ""Cook the dumplings: Dumplings can be boiled, steamed, or pan-fried. For boiling: Bring a pot of water to a boil. Gently drop the dumplings into the boiling water. Cook for 6-8 minutes, or until the dumplings float to the surface and are cooked through. For steaming: Steam the dumplings for about 8-10 minutes. For pan-frying: Heat oil in a pan over medium heat. Place the dumplings in the pan and cook until the bottoms are golden brown. Add water to the pan (about 1/4 inch) and cover to steam until the dumplings are cooked through."",
    ""Serve and enjoy: Serve the dumplings immediately with a dipping sauce of your choice (e.g., soy sauce, vinegar, chili oil).""
  ]
}
```"
8,"I have noodles, sesame paste, and cucumber. I want a cold Sichuan-style noodle dish.",3,1.0,0.2727272727272727,0.42857142857142855,"[('noodles', '8 oz noodles wheat or egg noodles'), ('sesame paste', '2 tablespoons sesame paste tahini can be substituted'), ('cucumber', '1 cucumber thinly sliced')]","```json
{
  ""recipe_name"": ""Cold Sesame Noodles with Cucumber (Sichuan Style)"",
  ""chosen_from"": ""User Request"",
  ""ingredients"": [
    ""8 oz noodles (wheat or egg noodles)"",
    ""2 tablespoons sesame paste (tahini can be substituted)"",
    ""2 tablespoons soy sauce"",
    ""1 tablespoon rice vinegar"",
    ""1 tablespoon chili oil (or to taste)"",
    ""1 teaspoon sugar"",
    ""1 clove garlic, minced"",
    ""1/2 teaspoon grated fresh ginger"",
    ""1/4 cup cold water (or as needed to thin)"",
    ""1 cucumber, thinly sliced"",
    ""Optional: Chopped peanuts, sesame seeds, scallions for garnish""
  ],
  ""steps"": [
    ""Cook noodles according to package directions, until al dente. Rinse immediately under cold water to stop cooking and drain well."",
    ""In a large bowl, whisk together the sesame paste, soy sauce, rice vinegar, chili oil, sugar, garlic, and ginger."",
    ""Gradually add cold water, whisking until the sauce reaches a smooth, pourable consistency."",
    ""Add the cold, drained noodles to the sauce and toss to coat evenly."",
    ""Add the sliced cucumber and toss gently to combine."",
    ""Serve immediately, garnished with chopped peanuts, sesame seeds, and scallions (optional).""
  ]
}
```"
9,"I have fish fillet, chili peppers, and bean sprouts. I want to make boiled fish in spicy broth.",3,1.0,0.25,0.4,"[('fish fillet', 'fish fillet e g cod tilapia'), ('chili peppers', 'chili peppers adjust to your spice preference'), ('bean sprouts', 'bean sprouts')]","```json
{
  ""recipe_name"": ""Spicy Boiled Fish with Bean Sprouts"",
  ""chosen_from"": ""User Request"",
  ""ingredients"": [
    ""Fish fillet (e.g., cod, tilapia)"",
    ""Chili peppers (adjust to your spice preference)"",
    ""Bean sprouts"",
    ""Water or fish broth"",
    ""Cooking oil"",
    ""Ginger, thinly sliced"",
    ""Garlic, minced"",
    ""Soy sauce"",
    ""Salt"",
    ""Sugar"",
    ""White pepper"",
    ""Cornstarch (optional, for thickening)""
  ],
  ""steps"": [
    ""Prepare the fish: Cut the fish fillet into bite-sized pieces. Lightly season with salt, white pepper, and a touch of cornstarch (optional)."",
    ""Prepare the chili oil: Heat cooking oil in a pot or wok over medium heat. Add sliced ginger and minced garlic, and stir-fry until fragrant. Add chopped chili peppers and stir-fry for a few seconds until their aroma is released."",
    ""Make the broth: Pour water or fish broth into the pot. Bring to a boil."",
    ""Season the broth: Add soy sauce, salt, and sugar to taste. Adjust seasoning as needed."",
    ""Cook the fish: Gently add the fish pieces to the boiling broth. Cook until the fish is just cooked through (usually a few minutes, depending on the thickness)."",
    ""Add bean sprouts: Add the bean sprouts to the pot and cook for about 1 minute until they are slightly softened."",
    ""Serve: Carefully transfer the fish, bean sprouts, and broth to a serving bowl. Garnish with more chopped chilies if desired. Serve hot with rice.""
  ]
}
```"
10,"I have tofu skin, peanuts, and vinegar. I want a refreshing cold appetizer.",3,1.0,0.375,0.5454545454545454,"[('tofu skin', 'tofu skin yuba'), ('peanuts', 'peanuts roasted and lightly crushed'), ('vinegar', 'rice vinegar')]","```json
{
  ""recipe_name"": ""Cold Tofu Skin Salad with Peanuts and Vinegar"",
  ""chosen_from"": ""User Request"",
  ""ingredients"": [
    ""Tofu skin (yuba)"",
    ""Peanuts, roasted and lightly crushed"",
    ""Rice vinegar"",
    ""Soy sauce (optional)"",
    ""Sesame oil (optional)"",
    ""Sugar or sweetener (optional)"",
    ""Chili oil or flakes (optional, for heat)"",
    ""Cilantro or scallions, chopped (optional, for garnish)""
  ],
  ""steps"": [
    ""Rehydrate the tofu skin according to package directions. If using dried tofu skin, soak in warm water until softened. Fresh tofu skin can be blanched briefly in boiling water."",
    ""Drain the tofu skin and gently squeeze out excess water."",
    ""Cut the tofu skin into bite-sized pieces or strips."",
    ""In a bowl, combine the tofu skin, peanuts, and vinegar."",
    ""Add soy sauce, sesame oil, and sugar (if using) to taste.  Adjust the vinegar and other seasonings to your preference."",
    ""If desired, add chili oil or flakes for heat."",
    ""Toss everything gently to combine."",
    ""Garnish with cilantro or scallions, if using."",
    ""Chill for at least 15 minutes before serving to allow the flavors to meld."",
    ""Serve cold as a refreshing appetizer.""
  ]
}
```"
