Recipes_name,Ingredients,Recipes,Flavor,Difficulty,Estimated Cooking Time
Twice-cooked Pork,Pork belly; Green garlic or spring onion; Ginger slices; Dried chili; Cooking wine; Doubanjiang; Sweet bean sauce; Soy sauce; Sugar; MSG; Salt,"Step 1: Slice the pork belly thinly and pan-fry on medium-high heat with a pinch of salt. Add ginger slices and dried chili, then cooking wine to remove the smell. Step 2: Lower the heat, add doubanjiang and sweet bean sauce (ratio 1:0.9), a bit of MSG, and about 1 teaspoon of sugar. Stir well and finally add soy sauce for aroma. Step 3: Turn off the heat, add green garlic or spring onion, mix evenly, and serve.",Spicy and Savory,Medium,25 minutes
Fried Skewer Dipping Sauce,Sugar; Soy sauce; Minced garlic; Chili powder; Cumin; Chicken powder; Salt; Cornstarch,"Step 1: Stir-fry minced garlic, add soy sauce, chili powder, cumin, sugar, chicken powder, and salt. Add cornstarch water to thicken the sauce.",Spicy,Easy,10 minutes
Tomato Beef Soup,Beef sirloin; Tomato; Oyster sauce; Coriander; Chopped scallion; Black pepper,"Step 1: Slice the beef and marinate with black pepper and a little peanut oil. Step 2: Blanch tomatoes in boiling water, peel, and dice. Step 3: Heat oil, stir-fry tomatoes until soft, then add boiling water and salt. Step 4: Add beef slices and 1 tablespoon oyster sauce. Cook until the beef is tender, then top with chopped scallion and coriander before serving.",Sour and Savory,Medium,30 minutes
Thai Lemongrass Pork Chop,Pork shoulder; Thai lemongrass marinade; Water; Cornstarch,"Step 1: Slice the pork shoulder thinly against the grain and tenderize both sides with a knife. Step 2: Mix 30g lemongrass marinade with 30g water, combine with the pork, and marinate in the fridge for at least 4 hours. Step 3: Coat lightly with cornstarch. Step 4: Heat a small amount of oil on medium-low heat and pan-fry the pork until golden and cooked through on both sides. Serve hot.",Fragrant and Savory,Medium,30 minutes
Kaifeng-Style Chicken and Mushroom Noodle Broth,Dried shiitake mushrooms; Chicken breast; Wood ear fungus; Tofu sheet; Dried daylily; Fried gluten; Doubanjiang; Scallion; Ginger; Sichuan peppercorn; Star anise; Bay leaf; Cinnamon; Soy sauce; Dark soy sauce; Rice noodles; Coriander; Chicken powder; Pepper oil,"Step 1: Dice chicken breast and marinate with salt and soy sauce for 30 minutes. Soak dried mushrooms, wood ear, and daylily separately. Step 2: Heat oil, fry star anise, peppercorns, cinnamon, bay leaf, ginger, and scallion until fragrant. Remove spices. Step 3: Fry tofu cubes until golden, stir-fry chicken until slightly golden, then add doubanjiang and stir well. Step 4: Add soaked mushrooms, tofu, wood ear, and daylily. Season with soy sauce, dark soy sauce, oyster sauce, and a little salt. Step 5: Add boiling water and mushroom-soaking water to cover. Simmer over medium-low heat for 30 minutes. Step 6: Serve the sauce over noodles or rice noodles, top with coriander, and drizzle with pepper oil.",Spicy and Savory,Hard,60 minutes
French Baked Onion,Onion; Salt; Cheese; Egg; Butter; Flour; Milk; Black pepper; Nutmeg,"Step 1: Preheat the oven to 176°C. Bake onions on a layer of salt for 30 minutes. Step 2: Melt butter, stir in flour, and add milk to make a thick sauce. Season with salt, pepper, cheese, and nutmeg. Step 3: Slice the roasted onions, sauté until golden, then place in a mold. Add egg yolk, cheese sauce, and shredded cheese. Bake at 230°C for 5 minutes until golden. Serve with bread.",Creamy and Savory,Medium,40 minutes
Stir-fried Pork Intestines with Pickled Vegetables,Pork intestines; Garlic; Ginger; Fermented black beans; Pickled vegetables,"Step 1: Cut intestines into strips and scallions into sections. Step 2: Heat oil, stir-fry garlic, ginger, and fermented black beans until fragrant. Add pickled vegetables and stir-fry, then add intestines and cook for 3 minutes. Step 3: Add cooking wine, soy sauce, oyster sauce, and white pepper powder. Stir-fry for another 2 minutes, add scallion greens, and serve.",Spicy and Savory,Medium,25 minutes
Cold Udon with Sesame Chicken,Udon noodles; Chicken thigh; Egg; Cucumber; Coriander; Garlic,"Step 1: Boil chicken thigh until cooked, cool, debone, and shred. Slice cucumber and egg into strips, and chop coriander and garlic. Step 2: Mix sesame paste with salt, chicken powder, soy sauce, oyster sauce, honey, and a bit of water to make the sauce. Step 3: Boil udon noodles, rinse in cold water, and drain. Toss with a little sesame oil. Step 4: Arrange toppings on the noodles, pour sesame sauce over, and mix well before eating.",Light and Nutty,Easy,20 minutes
Braised Pig Trotters,Pig trotters; Sugar; Salt; MSG; Oil; Ginger; Scallion; Cooking wine; Garlic; Fennel; Dried chili; Star anise; Nutmeg; Cardamom; Bay leaf; Angelica root,"Step 1: Cut pig trotters in half and clean. Step 2: Boil in water with ginger, scallion, and cooking wine to remove odor and impurities. Step 3: In a pan, melt sugar over low heat until it turns reddish brown. Step 4: Add trotters and stir to coat evenly. Step 5: Add water to cover, season with salt, sugar, and MSG, then add all the spices. Step 6: Bring to a boil and transfer to a pressure cooker. Cook for 15 minutes after it starts steaming. Step 7: Let it soak in the sauce for richer flavor before serving.",Sweet and Savory,Hard,60 minutes
Basque Cheesecake (Four Flavors),Cream cheese; Heavy cream; Eggs; Cornstarch; Sugar; Pistachio paste; Lemon zest; Lemon juice; Matcha powder,"Step 1: Mix the basic batter of cream cheese, sugar, eggs, cream, and cornstarch. Step 2: For different flavors, add pistachio paste, lemon juice and zest, or matcha powder separately. Step 3: Strain the batter and bake at 230°C for 16 minutes until slightly burnt on top and creamy inside.",Sweet and Creamy,Medium,40 minutes
